cod,dou,area
33,FCA,Ciências Biológicas e Profissão da saúde
89,FCM,Ciências Biológicas e Profissão da saúde
8,FCM,Ciências Biológicas e Profissão da saúde
75,FCM,Ciências Biológicas e Profissão da saúde
97,FCM,Ciências Biológicas e Profissão da saúde
23,FCM,Ciências Biológicas e Profissão da saúde
104,FCM,Ciências Biológicas e Profissão da saúde
90,FCM,Ciências Biológicas e Profissão da saúde
87,FCM,Ciências Biológicas e Profissão da saúde
36,FCM,Ciências Biológicas e Profissão da saúde
91,FCM,Ciências Biológicas e Profissão da saúde
70,FE,Ciências Humanas
102,FE,Ciências Humanas
81,FEA,"Ciências Exatas,Tecnológicas e da Terra"
34,FEA,"Ciências Exatas,Tecnológicas e da Terra"
6,FEA,"Ciências Exatas,Tecnológicas e da Terra"
7,FEA,"Ciências Exatas,Tecnológicas e da Terra"
5,FEA,"Ciências Exatas,Tecnológicas e da Terra"
58,FEAGRI,"Ciências Exatas,Tecnológicas e da Terra"
32,FEC,"Ciências Exatas,Tecnológicas e da Terra"
62,FEC,"Ciências Exatas,Tecnológicas e da Terra"
61,FEEC,"Ciências Exatas,Tecnológicas e da Terra"
78,FEF,Ciências Biológicas e Profissão da saúde
98,FEM,"Ciências Exatas,Tecnológicas e da Terra"
60,FEM,"Ciências Exatas,Tecnológicas e da Terra"
92,FEM,"Ciências Exatas,Tecnológicas e da Terra"
100,FENF,Ciências Biológicas e Profissão da saúde
59,FEQ,"Ciências Exatas,Tecnológicas e da Terra"
16,FOP,Ciências Biológicas e Profissão da saúde
73,FOP,Ciências Biológicas e Profissão da saúde
20,FOP,Ciências Biológicas e Profissão da saúde
19,FOP,Ciências Biológicas e Profissão da saúde
64,FOP,Ciências Biológicas e Profissão da saúde
18,FOP,Ciências Biológicas e Profissão da saúde
35,FT,"Ciências Exatas,Tecnológicas e da Terra"
105,IA,Artes
106,IA,Artes
2,IA,Artes
22,IA,Artes
101,IB,Ciências Biológicas e Profissão da saúde
14,IB,Ciências Biológicas e Profissão da saúde
10,IB,Ciências Biológicas e Profissão da saúde
9,IB,Ciências Biológicas e Profissão da saúde
12,IB,Ciências Biológicas e Profissão da saúde
13,IB,Ciências Biológicas e Profissão da saúde
11,IB,Ciências Biológicas e Profissão da saúde
53,IC,"Ciências Exatas,Tecnológicas e da Terra"
21,IE,Ciências Humanas
67,IE,Ciências Humanas
68,IEL,Ciências Humanas
93,IEL,Ciências Humanas
57,IEL,Ciências Humanas
28,IFCH,Ciências Humanas
25,IFCH,Ciências Humanas
30,IFCH,Ciências Humanas
66,IFCH,Ciências Humanas
94,IFCH,Ciências Humanas
74,IFCH,Ciências Humanas
69,IFCH,Ciências Humanas
103,IFCH,Ciências Humanas
27,IFCH,Ciências Humanas
54,IFGW,"Ciências Exatas,Tecnológicas e da Terra"
26,IG,"Ciências Exatas,Tecnológicas e da Terra"
76,IG,"Ciências Exatas,Tecnológicas e da Terra"
24,IG,Ciências Humanas
95,IG,Ciências Humanas
31,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
51,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
79,IMECC,"Ciências Exatas,Tecnológicas e da Terra"
55,IQ,"Ciências Exatas,Tecnológicas e da Terra"
